type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-08 13:15:00,2019-01-09 09:15:00,127.75,133.0,Long,385,5.25,2021.25,985958.3499999997,TP,PRAJIND,0 days 20:00:00
Long,2019-01-08 13:15:00,2019-01-09 09:15:00,9.2,9.7,Long,5358,0.5,2679.0,988637.3499999997,TP,VIKASECO-BE,0 days 20:00:00
Long,2019-01-08 13:15:00,2019-01-09 09:15:00,110.2,109.15,Long,448,-1.0499999999999972,-470.3999999999987,988166.9499999997,SL,BALRAMCHIN,0 days 20:00:00
Long,2019-01-08 13:15:00,2019-01-09 09:15:00,9.2,9.2,Long,5370,0.0,0.0,988166.9499999997,SL,BAJAJHIND,0 days 20:00:00
Long,2019-01-08 14:15:00,2019-01-09 10:15:00,7.0,6.95,Long,7058,-0.04999999999999982,-352.8999999999987,987814.0499999997,SL,AILIMITED-SM,0 days 20:00:00
Long,2019-01-08 14:15:00,2019-01-09 10:15:00,304.2,303.5,Long,162,-0.6999999999999886,-113.39999999999816,987700.6499999997,SL,SBIN,0 days 20:00:00
Long,2019-01-08 14:15:00,2019-01-09 10:15:00,15.4,15.35,Long,3206,-0.05000000000000071,-160.30000000000229,987540.3499999996,SL,MAHABANK,0 days 20:00:00
Long,2019-01-08 14:15:00,2019-01-09 10:15:00,28.85,29.15,Long,1711,0.29999999999999716,513.2999999999952,988053.6499999997,TP,FILATEX,0 days 20:00:00
Long,2019-01-08 15:15:00,2019-01-09 11:15:00,23.9,23.1,Long,2067,-0.7999999999999972,-1653.5999999999942,986400.0499999997,SL,HFCL,0 days 20:00:00
Long,2019-01-08 15:15:00,2019-01-09 11:15:00,82.7,81.5,Long,596,-1.2000000000000028,-715.2000000000016,985684.8499999997,SL,PCJEWELLER,0 days 20:00:00
Long,2019-01-08 15:15:00,2019-01-09 11:15:00,11.4,11.25,Long,4323,-0.15000000000000036,-648.4500000000015,985036.3999999998,SL,INFIBEAM,0 days 20:00:00
Long,2019-01-08 15:15:00,2019-01-09 11:15:00,46.05,45.75,Long,1069,-0.29999999999999716,-320.699999999997,984715.6999999998,SL,CGPOWER,0 days 20:00:00
Long,2019-01-09 09:15:00,2019-01-09 12:15:00,13.0,12.5,Long,3787,-0.5,-1893.5,982822.1999999998,SL,HCC,0 days 03:00:00
